Ref,Val,Package,PosX,PosY,Rot,Side
"C85","CC0402_4.7UF_16V_20%_X5R","CAPC1005X55N",120.600000,-115.100000,-90.000000,top
"C86","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",121.600000,-115.100000,-90.000000,top
"C87","CC0402_4.7UF_16V_20%_X5R","CAPC1005X55N",120.700000,-118.700000,90.000000,top
"C88","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",121.700000,-118.700000,90.000000,top
"C111","CC0805_100UF_6.3V_20%_X5R","CAPC2012X145N",174.600000,-95.800000,0.000000,top
"C170","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",127.400000,-128.400000,90.000000,top
"C171","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",129.400000,-128.400000,90.000000,top
"C172","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",143.100000,-128.250000,90.000000,top
"C173","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",145.050000,-128.250000,90.000000,top
"C174","CC0805_10UF_25V_10%_X5R","CAPC2012X95N",148.750000,-119.562500,0.000000,top
"C175","CC0805_10UF_25V_10%_X5R","CAPC2012X95N",148.000000,-131.500000,0.000000,top
"C176","CC0805_10UF_25V_10%_X5R","CAPC2012X95N",132.300000,-131.600000,0.000000,top
"C177","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",145.800000,-116.400000,90.000000,top
"C180","CC0805_10UF_25V_10%_X5R","CAPC2012X95N",179.600000,-134.500000,-90.000000,top
"C181","CC0805_22UF_16V_10%_X5R","CAPC2012X135N",182.800000,-131.425000,0.000000,top
"C182","CC0402_1UF_16V_10%_X5R","CAPC1005X55N",155.600000,-113.315000,-90.000000,top
"C183","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",156.600000,-113.315000,-90.000000,top
"C184","CC0402_1UF_16V_10%_X5R","CAPC1005X55N",162.000000,-113.215000,-90.000000,top
"C185","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",169.230000,-120.185000,180.000000,top
"C187","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",171.830000,-120.185000,0.000000,top
"C188","CC0201_100NF_6.3V_10%_X5R","CAPC1005X55N",166.250000,-111.500000,0.000000,top
"C189","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",172.430000,-114.335000,90.000000,top
"C190","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",177.330000,-114.335000,90.000000,top
"C191","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",169.430000,-124.385000,-90.000000,top
"C192","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",163.300000,-130.500000,0.000000,top
"C193","CC0402_2.2NF_50V_10%_X7R","CAPC1005X55N",163.400000,-120.800000,180.000000,top
"C194","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",172.430000,-118.135000,-90.000000,top
"C195","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",159.950000,-130.525000,180.000000,top
"C196","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",167.730000,-116.685000,90.000000,top
"C197","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",181.450000,-118.300000,0.000000,top
"C198","CC0201_100NF_6.3V_10%_X5R","CAPC0603X33N",172.000000,-77.800000,90.000000,top
"C199","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",165.700000,-129.700000,-90.000000,top
"C200","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",167.400000,-129.700000,-90.000000,top
"C201","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",165.200000,-121.900000,90.000000,top
"C202","CC0402_100NF_50V_10%_X7R","CAPC1005X55N",158.900000,-126.100000,-90.000000,top
"C203","CC0603_22UF_6.3V_20%_X5R","CAPC1709X100N",164.200000,-124.500000,0.000000,top
