Designator,Val,Package, Mid X, Mid Y,Rotation,Layer
C241,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,199.200000,-123.300000,-90.000000,bottom
C242,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,198.300000,-123.300000,-90.000000,bottom
C243,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,196.700000,-118.100000,180.000000,bottom
C244,CC0201_47NF_6.3V_10%_X5R,CAPC0603X33N,198.300000,-121.700000,-90.000000,bottom
C245,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,191.400000,-122.500000,90.000000,bottom
C246,CC0201_470NF_4V_20%_X5R,CAPC0603X33N,191.400000,-124.200000,90.000000,bottom
C249,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,195.600000,-120.900000,-90.000000,bottom
C250,CC0201_100NF_6.3V_10%_X5R,CAPC0603X33N,190.100000,-117.400000,-90.000000,bottom
J9,2180739-1,TE_2180739-1,145.400000,-76.200000,90.000000,bottom
J11,TYCO_1888247-1,TYCO_1367073-1,145.400000,-69.070000,0.000000,bottom
J13,TYCO_1888247-1,TYCO_1888247-1,145.400000,-83.325000,0.000000,bottom
L6,4.7 uH,L_1008_2520Metric,147.100000,-57.900000,-90.000000,bottom
L7,4.7 uH,L_1008_2520Metric,144.300000,-57.900000,-90.000000,bottom
L8,4.7 uH,L_1008_2520Metric,143.300000,-94.300000,90.000000,bottom
L9,4.7 uH,L_1008_2520Metric,146.200000,-94.300000,90.000000,bottom
L11,IND0603_MURATA_BLM18AG601SN1,INDC1608X95N,193.300000,-106.000000,90.000000,bottom
L15,IND0805_TDK_MLZ2012M150WT000,INDC2013X145N,187.117500,-108.400000,0.000000,bottom
L16,IND0402_MURATA_BLM15HB221SN1,INDC1005X55N,185.100000,-94.700000,0.000000,bottom
R1,R0603_6K65_0.1%_0.063W_10PPM,RESC1608X55N,180.700000,-113.700000,180.000000,bottom
R2,R0402_10K_1%_0.0625W_100PPM,RESC1005X40N,183.250000,-116.165000,90.000000,bottom
R10,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,152.800000,-109.000000,180.000000,bottom
R11,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,152.800000,-108.000000,180.000000,bottom
R13,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,152.800000,-110.000000,180.000000,bottom
R15,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,152.800000,-111.000000,0.000000,bottom
R16,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,152.800000,-107.000000,180.000000,bottom
R17,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,152.800000,-106.000000,180.000000,bottom
R50,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,193.500000,-127.100000,-90.000000,bottom
R51,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,187.800000,-122.300000,180.000000,bottom
R52,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,198.500000,-127.100000,-90.000000,bottom
R53,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,187.800000,-123.300000,180.000000,bottom
R54,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,197.500000,-127.100000,-90.000000,bottom
R55,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,187.800000,-119.300000,180.000000,bottom
R58,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,194.500000,-127.100000,-90.000000,bottom
R62,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,192.500000,-127.100000,-90.000000,bottom
R67,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,195.475000,-127.100000,-90.000000,bottom
R68,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,191.500000,-127.100000,-90.000000,bottom
R69,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,187.800000,-120.300000,180.000000,bottom
R70,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,187.800000,-121.300000,180.000000,bottom
R71,R0402_40R2_1%_0.0625W_100PPM,RESC1005X40N,187.800000,-118.300000,180.000000,bottom
R72,R0402_240R_1%_0.0625W_100PPM,RESC1005X40N,199.100000,-118.500000,90.000000,bottom
R74,R0402_2K2_1%_0.0625W_100PPM,RESC1005X40N,121.400000,-114.000000,90.000000,bottom
R75,R0402_10K_1%_0.0625W_100PPM,RESC1005X40N,119.700000,-116.000000,0.000000,bottom
R86,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,182.200000,-84.050000,90.000000,bottom
R90,R0402_1K_1%_0.0625W_100PPM,RESC1005X40N,183.400000,-84.000000,-90.000000,bottom
R91,R0805_135K_0.1%_0.1W_25PPM_KOA_RN73R2ATTD1353B25,RESC2012X60N,129.200000,-128.500000,-90.000000,bottom
R92,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,130.800000,-128.900000,90.000000,bottom
R93,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,147.400000,-128.937500,90.000000,bottom
R94,R0805_135K_0.1%_0.1W_25PPM_KOA_RN73R2ATTD1353B25,RESC2012X60N,150.750000,-128.950000,180.000000,bottom
R95,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,150.600000,-117.462500,90.000000,bottom
R96,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,149.500000,-119.462500,90.000000,bottom
R97,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,148.500000,-119.462500,90.000000,bottom
R98,R0402_10K_1%_0.0625W_100PPM,RESC1005X40N,181.250000,-133.250000,0.000000,bottom
R100,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,182.250000,-132.000000,0.000000,bottom
R101,R0402_30K_1%_0.0625W_100PPM,RESC1005X40N,182.250000,-131.000000,0.000000,bottom
R108,R0402_0R_JUMPER,RESC1005X40N,159.400000,-126.100000,90.000000,bottom
R109,R0402_0R_JUMPER,RESC1005X40N,160.400000,-126.100000,90.000000,bottom
R111,R0402_0R_JUMPER,RESC1005X40N,157.400000,-126.100000,90.000000,bottom
R112,R0402_0R_JUMPER,RESC1005X40N,158.400000,-126.100000,90.000000,bottom
R114,R0402_100R_1%_0.1W_100PPM,RESC1005X40N,175.900000,-101.100000,-90.000000,bottom
R142,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,182.250000,-116.165000,-90.000000,bottom
R143,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,179.500000,-134.750000,180.000000,bottom
R144,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,147.500000,-119.462500,-90.000000,bottom
R145,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,148.300000,-131.250000,-90.000000,bottom
R146,R0402_4K7_1%_0.0625W_100PPM,RESC1005X40N,132.600000,-131.600000,-90.000000,bottom
